building_type_id,"unit_name","building_type_name",generic_building_type_id,is_residential,"generic_building_type_description","description"
1,"building_sqft","agriculture",8,0,"other","Agriculture"
2,"building_sqft","civic",7,0,"government","Civic and Quasi-Public"
3,"building_sqft","commercial",4,0,"commercial","Commercial"
4,"building_sqft","condo_residential",2,1,"multi-family residential","Condo Residential"
5,"building_sqft","government",7,0,"government","Government"
6,"building_sqft","group_quarter",8,0,"other","Group Quarters"
7,"building_sqft","hospital",7,0,"government","Hospital / Convalescent Center"
8,"building_sqft","industrial",5,0,"industrial","Industrial"
9,"building_sqft","military",7,0,"government","Military"
10,"building_sqft","mixed_use",6,0,"mixed-use","Mixed-Use"
11,"building_sqft","mobile_home",1,1,"single family residential","Mobile Home"
12,"building_sqft","multi_family_residential",2,1,"multi-family residential","Multi-Family Residential"
13,"building_sqft","office",3,0,"office","Office"
14,"building_sqft","outbuilding",8,0,"other","Outbuilding"
15,"parcel_sqft","open_space",8,0,"other","Park and Open Space"
16,"parcel_sqft","parking",8,0,"other","Parking"
17,"parcel_sqft","recreation",8,0,"other","Recreation"
18,"building_sqft","school",7,0,"government","School"
19,"building_sqft","single_family_residential",1,1,"single family residential","Single Family Residential"
20,"building_sqft","tcu",5,0,"industrial","Transportation Communication Utilities"
21,"building_sqft","warehousing",5,0,"industrial","Warehousing"
22,"parcel_sqft","no_code",8,0,"other","No Code"
23,"building_sqft","other",8,0,"other","Other"
