growth_center_id,growth_center_name,growth_center_class
501,Auburn,Urban
503,Bellevue,Metro
504,Bothell Canyon Park,Urban
505,Bremerton,Metro
506,Burien,Urban
508,Everett,Metro
509,Federal Way,Urban
511,Kent,Urban
513,Kirkland Totem Lake,Urban
514,Lakewood,Urban
515,Lynnwood,Urban
519,Puyallup Downtown,Urban
520,Puyallup South Hill,Urban
521,Redmond Downtown,Urban
522,Redmond-Overlake,Metro
523,Renton,Urban
524,SeaTac,Urban
525,Seattle Downtown,Metro
526,Seattle First Hill/Capitol Hill,Metro
527,Seattle Northgate,Metro
528,Seattle South Lake Union,Metro
529,Seattle University District,Metro
530,Seattle Uptown,Metro
531,Silverdale,Urban
533,Tacoma Downtown,Metro
534,Tacoma Mall,Urban
535,Tukwila,Urban
536,Issaquah,Urban
537,University Place,Urban
538,Kirkland Greater Downtown,Urban
